,Title,Director,Cast,id,genres,imdb_id,original_language,popularity,release_date,runtime,vote_average,vote_count
60,Salaam Venky,Revathi,Vishal Jethwa,881983.0,Drama,tt15567704,hi,4.267,2022,2 hrs 11 min,7.8,5
61,Maarrich,Dhruv Lather,"Tusshar Kapoor,Naseeruddin Shah,Rahul Dev,Seerat Kapoor,Anita Hassanandani",787538.0,"Thriller,Crime",tt13878694,hi,1.4,2022,2 hrs 6 min,10.0,1
62,Blurr,Ajay Bahl,"Taapsee Pannu,Gulshan Devaiah",850837.0,"Horror,Thriller",tt15048614,hi,1.825,2022,2 hrs 6 min,4.0,5
63,Govinda Naam Mera,Shashank Khaitan,"Vicky Kaushal,Kiara Advani,Bhumi Pednekar",663457.0,"Comedy,Drama,Romance",tt16077702,hi,4.628,2022,2 hrs 11 min,5.4,9
64,Cirkus,Rohit Shetty,"Ranveer Singh,Pooja Hegde,Jacqueline Fernandez,Varun Sharma",755045.0,"Comedy,Drama",tt11112808,hi,5.856,2022,2 hrs 20 min,5.2,6
65,Nail Polish,Bugs Bhargava Krishna,"Arjun Rampal,Manav Kaul,Anand Tiwari,Samreen Kaur",774098.0,"Crime,Thriller,Drama",tt13143988,hi,2.107,2021,2 hrs 8 min,6.4,11
66,Ramprasad Ki Tehrvi,Seema Pahwa,"Naseeruddin Shah,Vinay Pathak,Vikrant Massey,Konkona Sen,Vineet Kumar,Manoj Pahwa,Parambrata Chattopadhyay,Supriya Pathak,Deepika Amin,Ninad Kamat",643807.0,"Drama,Family,Comedy",tt10196464,hi,2.395,2019,1 hrs 46 min,6.0,15
67,Tribhanga,Renuka Shahane,"Tanvi Azmi,Mithila Palkar,Kunaal Roy,Vaibhav Tatwawaadi,Manav Gohil,Kanwaljit Singh",744991.0,"Drama,Family",tt11102314,hi,4.576,2021,1 hrs 35 min,7.1,26
68,Jamun,Gaurav Mehra,"Raghubir Yadav,Shweta Basu,Sunny Hinduja,Saurabh Goyal,Krishna Singh,Bijou Thaangjam,Susheel Parashar",788122.0,"Drama,Family",tt10755608,hi,0.671,2021,1 hrs 32 min,7.0,2
69,Madam Chief Minister,Subhash Kapoor,"Richa Chadda,Manav Kaul,Akshay Oberoi,Saurabh Shukla",782848.0,Drama,tt13773882,hi,3.6,2021,2 hrs 3 min,5.8,9
70,Machaan,Nitesh Tiwari,"Pawan Waval,Richa Kalra,Prateek Goyal,Shubham Srivastav,Mahmood Hashmi,Prem Sagar,Mishti Singh",788603.0,Drama,tt12724920,hi,0.6,2021,2 hrs 4 min,8.5,2
71,Lahore Confidential,Kunal Kohli,"Richa Chadha,Karishma Tanna,Arunoday Singh",764336.0,"Thriller,Mystery,Drama",tt13199556,hi,1.058,2021,1 hrs 48 min,6.0,2
72,Tank Cleaner,Parvinder Singh Wraich,"Vinamarjot Singh,Money Sabharwal,Mridula Mahajan",583631.0,"Thriller,Drama,Crime",tt9537936,hi,3.089,2021,2 hrs 37 min,9.0,3
73,Bombay Rose,Gitanjali Rao,"Cyli Khare,Amit Deondi,Anurag Kashyap,Makrand Deshpande",587317.0,"Animation,Drama,Romance",tt8435324,hi,4.259,2019,1 hrs 33 min,6.6,26
74,Time to Dance,Stanley D'Costa,"Sooraj Pancholi,Isabelle Kaif,Waluscha De",799719.0,"Drama,Romance",tt8622232,hi,1.4,2021,1 hrs 47 min,4.0,1
75,Ahaan,Nikhil Pherwani,"Arif Zakaria,Abuli Mamaji,Niharika Singh,Plabita Borthakur,Rajit Kapur,Willl Finds,Way Films",829549.0,"Comedy,Drama",tt10833732,hi,0.905,2021,1 hrs 21 min,6.0,1
76,Mumbai Saga,Sanjay Gupta,"John Abraham,Emraan Hashmi,Suniel Shetty,Kajal Aggarwal,Prateik Babbar,Rohit Roy,Anjana Sukhani,Samir Soni,Amole Gupte,Gulshan Grover,Mahesh Manjrekar",608746.0,"Action,Drama,Crime",tt10483386,hi,5.431,2021,2 hrs 5 min,5.7,18
77,Sandeep Aur Pinky Faraar,Dibakar Banerjee,"Arjun Kapoor,Parineeti Chopra",534081.0,"Thriller,Drama",tt7094488,hi,3.64,2021,2 hrs 6 min,6.5,15
78,D Company,Ram Gopal Varma,"Ashwat Kanth,Abhilash Chaudhary,Pranay Dixit,Rudra Kanth,Naina Ganguly,Irra Mor",829808.0,"Action,Crime,Thriller",tt13847502,hi,0.656,2021,1 hrs 29 min,5.0,1
